Market type,Region,Consumption 2020 (Mtpa),Consumption 2024 (Mtpa),Consumption 2035 (Mtpa),Consumption 2050 (Mtpa)
Decline then stable,China,2411,1825,1183,928
Already stable,North America,115,120,131,138
Already stable,W Europe,131,126,129,125
Already stable,E Europe & Turkey,120,127,129,125
Already stable,Oceania,12,12,13,14
Already stable,NE Asia,97,97,89,85
Slow growth,SE Asia,236,240,275,297
Slow growth,North Africa,93,97,111,131
Slow growth,Latin America,164,176,202,215
Slow growth,CIS,97,116,127,136
Slow growth,Middle East,196,208,235,254
Fast growth,South Asia,392,537,813,908
Fast growth,Sub Saharan Africa,130,153,207,308
